id;age_years;age_years_full;sex;cb;experimenter;order;condition;trial;obj.pair;consis;hierarchy_dx_coin;hierarchy_x_coin;fb_control;res_c;res_t;c_correct;t_correct
11;7,17534246575342;7;m;j_11;Joana;acn acn;dual_identity;1;XC;I;1;1;1;left;self;0;0
11;7,17534246575342;7;m;j_11;Joana;acn acn;dual_identity;2;XC;C;1;1;1;left;wind;0;0
11;7,17534246575342;7;m;j_11;Joana;acn acn;control;1;XC;C;1;1;NA;left;wind;0;0
11;7,17534246575342;7;m;j_11;Joana;acn acn;control;2;XC;I;1;1;NA;right;wind;1;1
11;7,17534246575342;7;m;j_11;Joana;acn acn;change_of_location;1;M0;I;1;1;1;right;self;1;0
11;7,17534246575342;7;m;j_11;Joana;acn acn;change_of_location;2;M0;C;1;1;1;left;self;0;1
12;7,90684931506849;7;m;j_12;Joana;nca nca;dual_identity;1;XC;C;1;1;1;right;self;1;1
12;7,90684931506849;7;m;j_12;Joana;nca nca;dual_identity;2;XC;I;1;1;1;right;wind;1;1
12;7,90684931506849;7;m;j_12;Joana;nca nca;control;1;CX;I;1;1;NA;left;wind;1;1
12;7,90684931506849;7;m;j_12;Joana;nca nca;control;2;CX;C;1;1;NA;left;self;1;1
12;7,90684931506849;7;m;j_12;Joana;nca nca;change_of_location;1;0M;C;1;1;1;right;self;1;1
12;7,90684931506849;7;m;j_12;Joana;nca nca;change_of_location;2;0M;I;1;1;1;right;wind;1;1
14;5,23013698630137;5;m;j_14;Joana;nca nca;dual_identity;1;XC;I;1;1;1;right;self;1;0
14;5,23013698630137;5;m;j_14;Joana;nca nca;dual_identity;2;XC;C;1;1;1;right;self;1;1
14;5,23013698630137;5;m;j_14;Joana;nca nca;control;1;XC;C;1;1;NA;right;self;1;1
14;5,23013698630137;5;m;j_14;Joana;nca nca;control;2;CX;I;1;1;NA;left;wind;1;1
14;5,23013698630137;5;m;j_14;Joana;nca nca;change_of_location;1;0M;I;1;1;0;NA;NA;NA;NA
14;5,23013698630137;5;m;j_14;Joana;nca nca;change_of_location;2;M0;C;1;1;1;right;wind;1;0
15;4,36712328767123;4;m;j_15;Joana;nca nca;dual_identity;1;CX;C;1;0;1;right;wind;0;0
15;4,36712328767123;4;m;j_15;Joana;nca nca;dual_identity;2;XC;I;1;0;1;right;self;1;0
15;4,36712328767123;4;m;j_15;Joana;nca nca;control;1;CX;I;1;0;NA;NA;NA;NA;NA
15;4,36712328767123;4;m;j_15;Joana;nca nca;control;2;XC;C;1;0;NA;NA;NA;NA;NA
15;4,36712328767123;4;m;j_15;Joana;nca nca;change_of_location;1;M0;C;1;0;1;right;wind;1;0
15;4,36712328767123;4;m;j_15;Joana;nca nca;change_of_location;2;0M;I;1;0;1;left;self;0;0
16;5,03013698630137;5;f;j_16;Joana;nca nca;dual_identity;1;XC;I;1;1;1;right;wind;1;1
16;5,03013698630137;5;f;j_16;Joana;nca nca;dual_identity;2;XC;C;1;1;1;right;self;1;1
16;5,03013698630137;5;f;j_16;Joana;nca nca;control;1;CX;C;1;1;NA;left;self;1;1
16;5,03013698630137;5;f;j_16;Joana;nca nca;control;2;CX;I;1;1;NA;left;wind;1;1
16;5,03013698630137;5;f;j_16;Joana;nca nca;change_of_location;1;0M;I;1;1;1;right;wind;1;1
16;5,03013698630137;5;f;j_16;Joana;nca nca;change_of_location;2;0M;C;1;1;1;right;self;1;1
17;4,36712328767123;4;f;j_17;Joana;nca nca;dual_identity;1;XC;I;1;1;1;left;wind;0;1
17;4,36712328767123;4;f;j_17;Joana;nca nca;dual_identity;2;CX;C;1;1;1;left;wind;1;0
17;4,36712328767123;4;f;j_17;Joana;nca nca;control;1;CX;C;1;1;NA;left;wind;1;0
17;4,36712328767123;4;f;j_17;Joana;nca nca;control;2;XC;I;1;1;NA;left;wind;0;1
17;4,36712328767123;4;f;j_17;Joana;nca nca;change_of_location;1;0M;I;1;1;1;left;self;0;0
17;4,36712328767123;4;f;j_17;Joana;nca nca;change_of_location;2;M0;C;1;1;1;left;wind;0;0
18;5,89041095890411;5;m;j_18;Joana;acn acn;dual_identity;1;CX;I;0;1;1;NA;NA;NA;NA
18;5,89041095890411;5;m;j_18;Joana;acn acn;dual_identity;2;XC;C;0;1;1;NA;NA;NA;NA
18;5,89041095890411;5;m;j_18;Joana;acn acn;control;1;CX;C;0;1;NA;left;self;1;1
18;5,89041095890411;5;m;j_18;Joana;acn acn;control;2;XC;I;0;1;NA;right;wind;1;1
18;5,89041095890411;5;m;j_18;Joana;acn acn;change_of_location;1;0M;I;0;1;1;right;wind;1;1
18;5,89041095890411;5;m;j_18;Joana;acn acn;change_of_location;2;M0;C;0;1;1;left;self;0;1
19;5,62465753424657;5;f;j_19;Joana;acn acn;dual_identity;1;CX;C;1;1;1;left;self;1;1
19;5,62465753424657;5;f;j_19;Joana;acn acn;dual_identity;2;CX;I;1;1;1;left;wind;1;1
19;5,62465753424657;5;f;j_19;Joana;acn acn;control;1;XC;I;1;1;NA;left;self;0;0
19;5,62465753424657;5;f;j_19;Joana;acn acn;control;2;XC;C;1;1;NA;right;self;1;1
19;5,62465753424657;5;f;j_19;Joana;acn acn;change_of_location;1;M0;C;1;1;1;left;self;0;1
19;5,62465753424657;5;f;j_19;Joana;acn acn;change_of_location;2;0M;I;1;1;1;right;wind;1;1
20;6,67397260273973;6;m;j_20;Joana;nca nca;dual_identity;1;CX;I;1;1;1;left;wind;1;1
20;6,67397260273973;6;m;j_20;Joana;nca nca;dual_identity;2;XC;C;1;1;1;right;self;1;1
20;6,67397260273973;6;m;j_20;Joana;nca nca;control;1;XC;C;1;1;NA;right;wind;1;0
20;6,67397260273973;6;m;j_20;Joana;nca nca;control;2;CX;I;1;1;NA;left;wind;1;1
20;6,67397260273973;6;m;j_20;Joana;nca nca;change_of_location;1;M0;I;1;1;1;left;wind;0;1
20;6,67397260273973;6;m;j_20;Joana;nca nca;change_of_location;2;0M;C;1;1;1;right;wind;1;0
21;5,33972602739726;5;f;j_21;Joana;acn acn;dual_identity;1;XC;C;1;1;1;right;self;1;1
21;5,33972602739726;5;f;j_21;Joana;acn acn;dual_identity;2;XC;I;1;1;1;right;wind;1;1
21;5,33972602739726;5;f;j_21;Joana;acn acn;control;1;XC;I;1;1;NA;right;wind;1;1
21;5,33972602739726;5;f;j_21;Joana;acn acn;control;2;XC;C;1;1;NA;right;self;1;1
21;5,33972602739726;5;f;j_21;Joana;acn acn;change_of_location;1;M0;C;1;1;1;left;self;0;1
21;5,33972602739726;5;f;j_21;Joana;acn acn;change_of_location;2;M0;I;1;1;1;left;wind;0;1
22;6,89041095890411;6;m;j_22;Joana;acn acn;dual_identity;1;CX;C;1;1;1;left;self;1;1
22;6,89041095890411;6;m;j_22;Joana;acn acn;dual_identity;2;XC;I;1;1;1;right;wind;1;1
22;6,89041095890411;6;m;j_22;Joana;acn acn;control;1;CX;I;1;1;NA;left;wind;1;1
22;6,89041095890411;6;m;j_22;Joana;acn acn;control;2;XC;C;1;1;NA;right;self;1;1
22;6,89041095890411;6;m;j_22;Joana;acn acn;change_of_location;1;0M;C;1;1;1;right;self;1;1
22;6,89041095890411;6;m;j_22;Joana;acn acn;change_of_location;2;M0;I;1;1;1;left;wind;0;1
24;4,21643835616438;4;m;j_24;Joana;acn acn;dual_identity;1;XC;C;1;1;1;right;self;1;1
24;4,21643835616438;4;m;j_24;Joana;acn acn;dual_identity;2;CX;I;1;1;1;left;wind;1;1
24;4,21643835616438;4;m;j_24;Joana;acn acn;control;1;XC;I;1;1;NA;right;wind;1;1
24;4,21643835616438;4;m;j_24;Joana;acn acn;control;2;CX;C;1;1;NA;left;self;1;1
24;4,21643835616438;4;m;j_24;Joana;acn acn;change_of_location;1;M0;C;1;1;1;right;wind;1;0
24;4,21643835616438;4;m;j_24;Joana;acn acn;change_of_location;2;0M;I;1;1;1;left;self;0;0
25;4,72602739726027;4;m;j_25;Joana;acn acn;dual_identity;1;XC;I;1;0;1;left;self;0;0
25;4,72602739726027;4;m;j_25;Joana;acn acn;dual_identity;2;CX;C;1;0;1;left;self;1;1
25;4,72602739726027;4;m;j_25;Joana;acn acn;control;1;CX;C;1;0;NA;NA;NA;NA;NA
25;4,72602739726027;4;m;j_25;Joana;acn acn;control;2;XC;I;1;0;NA;NA;NA;NA;NA
25;4,72602739726027;4;m;j_25;Joana;acn acn;change_of_location;1;M0;I;1;0;1;left;self;0;0
25;4,72602739726027;4;m;j_25;Joana;acn acn;change_of_location;2;0M;C;1;0;1;left;self;0;1
26;7,33150684931507;7;f;j_08;Joana;acn acn;dual_identity;1;XC;C;0;1;1;NA;NA;NA;NA
26;7,33150684931507;7;f;j_08;Joana;acn acn;dual_identity;2;CX;I;0;1;1;NA;NA;NA;NA
26;7,33150684931507;7;f;j_08;Joana;acn acn;control;1;CX;I;0;1;NA;left;wind;1;1
26;7,33150684931507;7;f;j_08;Joana;acn acn;control;2;XC;C;0;1;NA;right;self;1;1
26;7,33150684931507;7;f;j_08;Joana;acn acn;change_of_location;1;M0;C;0;1;1;left;wind;0;0
26;7,33150684931507;7;f;j_08;Joana;acn acn;change_of_location;2;0M;I;0;1;1;right;wind;1;1
27;5,61643835616438;5;m;CB_01;Joana;acn acn;dual_identity;1;XC;C;1;0;1;right;self;1;1
27;5,61643835616438;5;m;CB_01;Joana;acn acn;dual_identity;2;XC;I;1;0;1;right;wind;1;1
27;5,61643835616438;5;m;CB_01;Joana;acn acn;control;1;CX;I;1;0;NA;NA;NA;NA;NA
27;5,61643835616438;5;m;CB_01;Joana;acn acn;control;2;CX;C;1;0;NA;NA;NA;NA;NA
27;5,61643835616438;5;m;CB_01;Joana;acn acn;change_of_location;1;M0;C;1;0;1;left;wind;0;0
27;5,61643835616438;5;m;CB_01;Joana;acn acn;change_of_location;2;M0;I;1;0;1;left;self;0;0
29;7,93424657534247;7;f;CB_03;Joana;acn acn;dual_identity;1;CX;C;1;1;1;left;self;1;1
