id;age_years;age_years_full;sex;cb;experimenter;order;obj.pair_1_dual_identity;obj.pair_2_dual_identity;obj.pair_1_control;obj.pair_2_control;obj.pair_1_change_of_location;obj.pair_2_change_of_location;consis_1_dual_identity;consis_2_dual_identity;consis_1_control;consis_2_control;consis_1_change_of_location;consis_2_change_of_location;res_c_1_dual_identity;res_c_2_dual_identity;res_c_1_control;res_c_2_control;res_c_1_change_of_location;res_c_2_change_of_location;res_t_1_dual_identity;res_t_2_dual_identity;res_t_1_control;res_t_2_control;res_t_1_change_of_location;res_t_2_change_of_location;c_correct_1_dual_identity;c_correct_2_dual_identity;c_correct_1_control;c_correct_2_control;c_correct_1_change_of_location;c_correct_2_change_of_location;t_correct_1_dual_identity;t_correct_2_dual_identity;t_correct_1_control;t_correct_2_control;t_correct_1_change_of_location;t_correct_2_change_of_location
11;7,17534246575342;7;m;j_11;Joana;acn acn;XC;XC;XC;XC;M0;M0;I;C;C;I;I;C;left;left;left;right;right;left;self;wind;wind;wind;self;self;0;0;0;1;1;0;0;0;0;1;0;1
12;7,90684931506849;7;m;j_12;Joana;nca nca;XC;XC;CX;CX;0M;0M;C;I;I;C;C;I;right;right;left;left;right;right;self;wind;wind;self;self;wind;1;1;1;1;1;1;1;1;1;1;1;1
14;5,23013698630137;5;m;j_14;Joana;nca nca;XC;XC;XC;CX;0M;M0;I;C;C;I;I;C;right;right;right;left;NA;right;self;self;self;wind;NA;wind;1;1;1;1;NA;1;0;1;1;1;NA;0
15;4,36712328767123;4;m;j_15;Joana;nca nca;CX;XC;CX;XC;M0;0M;C;I;I;C;C;I;right;right;NA;NA;right;left;wind;self;NA;NA;wind;self;0;1;NA;NA;1;0;0;0;NA;NA;0;0
16;5,03013698630137;5;f;j_16;Joana;nca nca;XC;XC;CX;CX;0M;0M;I;C;C;I;I;C;right;right;left;left;right;right;wind;self;self;wind;wind;self;1;1;1;1;1;1;1;1;1;1;1;1
17;4,36712328767123;4;f;j_17;Joana;nca nca;XC;CX;CX;XC;0M;M0;I;C;C;I;I;C;left;left;left;left;left;left;wind;wind;wind;wind;self;wind;0;1;1;0;0;0;1;0;0;1;0;0
18;5,89041095890411;5;m;j_18;Joana;acn acn;CX;XC;CX;XC;0M;M0;I;C;C;I;I;C;NA;NA;left;right;right;left;NA;NA;self;wind;wind;self;NA;NA;1;1;1;0;NA;NA;1;1;1;1
19;5,62465753424657;5;f;j_19;Joana;acn acn;CX;CX;XC;XC;M0;0M;C;I;I;C;C;I;left;left;left;right;left;right;self;wind;self;self;self;wind;1;1;0;1;0;1;1;1;0;1;1;1
20;6,67397260273973;6;m;j_20;Joana;nca nca;CX;XC;XC;CX;M0;0M;I;C;C;I;I;C;left;right;right;left;left;right;wind;self;wind;wind;wind;wind;1;1;1;1;0;1;1;1;0;1;1;0
21;5,33972602739726;5;f;j_21;Joana;acn acn;XC;XC;XC;XC;M0;M0;C;I;I;C;C;I;right;right;right;right;left;left;self;wind;wind;self;self;wind;1;1;1;1;0;0;1;1;1;1;1;1
22;6,89041095890411;6;m;j_22;Joana;acn acn;CX;XC;CX;XC;0M;M0;C;I;I;C;C;I;left;right;left;right;right;left;self;wind;wind;self;self;wind;1;1;1;1;1;0;1;1;1;1;1;1
24;4,21643835616438;4;m;j_24;Joana;acn acn;XC;CX;XC;CX;M0;0M;C;I;I;C;C;I;right;left;right;left;right;left;self;wind;wind;self;wind;self;1;1;1;1;1;0;1;1;1;1;0;0
25;4,72602739726027;4;m;j_25;Joana;acn acn;XC;CX;CX;XC;M0;0M;I;C;C;I;I;C;left;left;NA;NA;left;left;self;self;NA;NA;self;self;0;1;NA;NA;0;0;0;1;NA;NA;0;1
26;7,33150684931507;7;f;j_08;Joana;acn acn;XC;CX;CX;XC;M0;0M;C;I;I;C;C;I;NA;NA;left;right;left;right;NA;NA;wind;self;wind;wind;NA;NA;1;1;0;1;NA;NA;1;1;0;1
27;5,61643835616438;5;m;CB_01;Joana;acn acn;XC;XC;CX;CX;M0;M0;C;I;I;C;C;I;right;right;NA;NA;left;left;self;wind;NA;NA;wind;self;1;1;NA;NA;0;0;1;1;NA;NA;0;0
29;7,93424657534247;7;f;CB_03;Joana;acn acn;CX;CX;CX;CX;0M;0M;C;I;I;C;C;I;left;left;left;left;right;right;self;wind;wind;self;self;wind;1;1;1;1;1;1;1;1;1;1;1;1
30;6,49315068493151;6;m;CB_04;Joana;acn acn;XC;XC;XC;XC;M0;M0;C;I;I;C;C;I;NA;NA;right;right;right;right;NA;NA;wind;self;wind;wind;NA;NA;1;1;1;1;NA;NA;1;1;0;1
31;7,64657534246575;7;m;CB_05;Joana;acn acn;XC;CX;CX;XC;M0;0M;C;I;I;C;C;I;right;left;right;right;left;right;self;wind;self;self;self;wind;1;1;0;1;0;1;1;1;0;1;1;1
32;6,46575342465753;6;m;CB_06;Joana;acn acn;CX;XC;XC;CX;0M;M0;C;I;I;C;C;I;right;right;right;left;right;left;self;wind;wind;self;self;wind;0;1;1;1;1;0;1;1;1;1;1;1
33;6,34520547945205;6;f;CB_07;Joana;acn acn;CX;XC;CX;XC;0M;M0;C;I;I;C;C;I;NA;NA;left;right;right;left;NA;NA;wind;self;self;self;NA;NA;1;1;1;0;NA;NA;1;1;1;0
