id;age_years;cb;objects_1;objects_2;objects_3;objects_4;c_i_1;c_i_2;c_i_3;c_i_4;res_c_1;res_c_2;res_c_3;res_c_4;res_t_1;res_t_2;res_t_3;res_t_4;c_correct_1;c_correct_2;c_correct_3;c_correct_4;t_correct_1;t_correct_2;t_correct_3;t_correct_4;fam_dropout;fam_count
11;7,17534246575342;j_11;CX;DC;CX;DC;I;C;C;I;left;left;left;left;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
12;7,90684931506849;j_12;DC;CX;DC;CX;C;I;I;C;left;left;left;left;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
14;5,23013698630137;j_14;CD;XC;CD;XC;I;C;C;I;right;right;right;right;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
15;4,36712328767123;j_15;XC;CD;XC;CD;C;I;I;C;left;right;right;right;wind;wind;wind;self;0;1;1;1;0;1;1;1;no;6
16;5,03013698630137;j_16;DC;CX;DC;CX;I;C;C;I;left;left;left;left;wind;self;wind;wind;1;1;1;1;1;1;0;1;yes;7
17;4,36712328767123;j_17;CD;XC;CD;XC;C;I;I;C;right;right;right;right;self;self;wind;self;1;1;1;1;1;0;1;1;no;7
18;5,89041095890411;j_18;XC;CD;XC;CD;I;C;C;I;right;right;right;right;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
19;5,62465753424657;j_19;CX;DC;CX;DC;C;I;I;C;left;left;left;left;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
20;6,67397260273973;j_20;CX;DC;CX;DC;I;C;C;I;left;left;left;left;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
21;5,33972602739726;j_21;XC;CD;XC;CD;I;C;C;I;right;right;right;right;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
22;6,89041095890411;j_22;CX;DC;CX;DC;I;C;C;I;left;left;left;left;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
