id;age_years;cb;trial;objects;c_i;res_c;res_t;c_correct;t_correct
10;6,03561643835616;j_10;1;CD;I;right;wind;1;1
10;6,03561643835616;j_10;2;XC;C;right;wind;1;0
10;6,03561643835616;j_10;3;CD;C;right;wind;1;0
10;6,03561643835616;j_10;4;XC;I;right;wind;1;1
11;7,17534246575342;j_11;1;CX;I;left;wind;1;1
11;7,17534246575342;j_11;2;DC;C;left;self;1;1
11;7,17534246575342;j_11;3;CX;C;left;self;1;1
11;7,17534246575342;j_11;4;DC;I;left;wind;1;1
12;7,90684931506849;j_12;1;DC;C;left;wind;1;0
12;7,90684931506849;j_12;2;CX;I;left;wind;1;1
12;7,90684931506849;j_12;3;DC;I;left;wind;1;1
12;7,90684931506849;j_12;4;CX;C;left;self;1;1
13;4,21095890410959;j_13;1;DC;C;left;wind;1;0
13;4,21095890410959;j_13;2;CX;I;left;self;1;0
13;4,21095890410959;j_13;3;DC;I;right;self;0;0
13;4,21095890410959;j_13;4;NA;NA;NA;NA;NA;NA
14;5,23013698630137;j_14;1;CD;I;right;wind;1;1
14;5,23013698630137;j_14;2;XC;C;right;self;1;1
14;5,23013698630137;j_14;3;CD;C;right;self;1;1
14;5,23013698630137;j_14;4;XC;I;right;wind;1;1
15;4,36712328767123;j_15;1;XC;C;left;wind;0;0
15;4,36712328767123;j_15;2;CD;I;right;wind;1;1
15;4,36712328767123;j_15;3;XC;I;right;wind;1;1
15;4,36712328767123;j_15;4;CD;C;right;self;1;1
16;5,03013698630137;j_16;1;DC;I;left;wind;1;1
16;5,03013698630137;j_16;2;CX;C;left;self;1;1
16;5,03013698630137;j_16;3;DC;C;left;wind;1;0
16;5,03013698630137;j_16;4;CX;I;left;wind;1;1
17;4,36712328767123;j_17;1;CD;C;right;self;1;1
17;4,36712328767123;j_17;2;XC;I;right;self;1;0
17;4,36712328767123;j_17;3;CD;I;right;wind;1;1
17;4,36712328767123;j_17;4;XC;C;right;self;1;1
18;5,89041095890411;j_18;1;XC;I;right;wind;1;1
18;5,89041095890411;j_18;2;CD;C;right;self;1;1
18;5,89041095890411;j_18;3;XC;C;right;self;1;1
18;5,89041095890411;j_18;4;CD;I;right;wind;1;1
19;5,62465753424657;j_19;1;CX;C;left;wind;1;0
19;5,62465753424657;j_19;2;DC;I;left;wind;1;1
19;5,62465753424657;j_19;3;CX;I;left;wind;1;1
19;5,62465753424657;j_19;4;DC;C;left;self;1;1
20;6,67397260273973;j_20;1;CX;I;left;wind;1;1
20;6,67397260273973;j_20;2;DC;C;left;self;1;1
20;6,67397260273973;j_20;3;CX;C;left;self;1;1
20;6,67397260273973;j_20;4;DC;I;left;wind;1;1
21;5,33972602739726;j_21;1;XC;I;right;wind;1;1
21;5,33972602739726;j_21;2;CD;C;right;self;1;1
21;5,33972602739726;j_21;3;XC;C;right;self;1;1
21;5,33972602739726;j_21;4;CD;I;right;wind;1;1
22;6,89041095890411;j_22;1;CX;I;left;wind;1;1
22;6,89041095890411;j_22;2;DC;C;left;self;1;1
22;6,89041095890411;j_22;3;CX;C;left;self;1;1
22;6,89041095890411;j_22;4;DC;I;left;wind;1;1
23;4,05479452054795;j_23;1;CD;C;left;self;0;1
23;4,05479452054795;j_23;2;XC;I;right;self;1;0
23;4,05479452054795;j_23;3;CD;I;right;wind;1;1
23;4,05479452054795;j_23;4;XC;C;right;self;1;1
24;4,21643835616438;j_24;1;DC;C;left;self;1;1
24;4,21643835616438;j_24;2;CX;I;left;wind;1;1
24;4,21643835616438;j_24;3;DC;I;left;wind;1;1
24;4,21643835616438;j_24;4;CX;C;left;self;1;1
25;4,72602739726027;j_25;1;CX;C;left;wind;1;0
25;4,72602739726027;j_25;2;DC;I;left;self;1;0
25;4,72602739726027;j_25;3;CX;I;left;wind;1;1
25;4,72602739726027;j_25;4;DC;C;left;self;1;1
26;7,33150684931507;j_08;1;CD;C;right;wind;1;0
26;7,33150684931507;j_08;2;XC;I;right;wind;1;1
26;7,33150684931507;j_08;3;CD;I;right;wind;1;1
26;7,33150684931507;j_08;4;XC;C;right;self;1;1
27;5,61643835616438;CB_01;1;DC;I;left;wind;1;1
27;5,61643835616438;CB_01;2;XC;C;right;self;1;1
27;5,61643835616438;CB_01;3;DC;C;left;self;1;1
27;5,61643835616438;CB_01;4;XC;I;right;wind;1;1
28;4,12876712328767;CB_02;1;CX;I;left;self;1;0
28;4,12876712328767;CB_02;2;CD;C;NA;wind;NA;0
28;4,12876712328767;CB_02;3;CX;C;left;self;1;1
28;4,12876712328767;CB_02;4;CD;I;right;wind;1;1
29;7,93424657534247;CB_03;1;CD;I;right;wind;1;1
29;7,93424657534247;CB_03;2;CX;C;left;self;1;1
29;7,93424657534247;CB_03;3;CD;C;right;self;1;1
29;7,93424657534247;CB_03;4;CX;I;left;wind;1;1
30;6,49315068493151;CB_04;1;XC;I;right;wind;1;1
30;6,49315068493151;CB_04;2;DC;C;left;wind;1;0
30;6,49315068493151;CB_04;3;XC;C;right;self;1;1
30;6,49315068493151;CB_04;4;DC;I;left;wind;1;1
31;7,64657534246575;CB_05;1;CD;C;right;NA;1;NA
31;7,64657534246575;CB_05;2;CX;I;left;wind;1;1
31;7,64657534246575;CB_05;3;CD;I;right;wind;1;1
31;7,64657534246575;CB_05;4;CX;C;left;self;1;1
32;6,46575342465753;CB_06;1;XC;C;right;wind;1;0
32;6,46575342465753;CB_06;2;DC;I;left;wind;1;1
32;6,46575342465753;CB_06;3;XC;I;right;wind;1;1
32;6,46575342465753;CB_06;4;DC;C;left;self;1;1
33;6,34520547945205;CB_07;1;DC;C;left;NA;1;NA
33;6,34520547945205;CB_07;2;XC;I;right;wind;1;1
33;6,34520547945205;CB_07;3;DC;I;left;wind;1;1
33;6,34520547945205;CB_07;4;XC;C;right;self;1;1
34;5,25205479452055;CB_08;1;CX;C;left;self;1;1
34;5,25205479452055;CB_08;2;CD;I;right;wind;1;1
34;5,25205479452055;CB_08;3;CX;I;left;wind;1;1
34;5,25205479452055;CB_08;4;CD;C;right;self;1;1
35;6,27123287671233;CB_09;1;DC;I;left;wind;1;1
35;6,27123287671233;CB_09;2;XC;C;right;self;1;1
35;6,27123287671233;CB_09;3;DC;C;left;self;1;1
35;6,27123287671233;CB_09;4;XC;I;right;wind;1;1
36;7,33150684931507;CB_09;1;DC;I;left;wind;1;1
36;7,33150684931507;CB_09;2;XC;C;right;wind;1;0
36;7,33150684931507;CB_09;3;DC;C;left;self;1;1
36;7,33150684931507;CB_09;4;XC;I;right;wind;1;1
37;4,67671232876712;CB_10;1;CX;I;left;wind;1;1
37;4,67671232876712;CB_10;2;CD;C;right;self;1;1
37;4,67671232876712;CB_10;3;CX;C;left;self;1;1
37;4,67671232876712;CB_10;4;CD;I;right;wind;1;1
