id,age_months,age_years_full,age_years,a_c_order,tb_fb,consis,index,other,belief,condition,sex,experimenter,counterbalancing_order,asp_CoL_order,tb_fb_order,included,incomplete_data,reason_exlusion,Remarks,changed_wrong_live_coding,CQ_object,CQ_location,TQ,CQ_object2,res_t,CQ_location_res,trial
1,59,4,4.9150684931506845,FAM,NA,NA,1,,FAM,CoL,m,Isa,1,asp_first,tb_first,pilot1,no,NA,NA,NA,TRUE,1,1,NA,wind,q,1
1,59,4,4.9150684931506845,FAM,NA,NA,2,,FAM,CoL,m,Isa,1,asp_first,tb_first,pilot1,no,NA,NA,NA,TRUE,1,0,NA,wind,ü,2
1,59,4,4.9150684931506845,FAM,NA,NA,3,,FAM,CoL,m,Isa,1,asp_first,tb_first,pilot1,no,NA,NA,NA,TRUE,1,1,NA,self,ü,3
2,59,4,4.947945205479452,FAM,NA,NA,1,pause bei letztem Trial,FAM,CoL,m,Isa,1,asp_first,tb_first,pilot1,no,NA,NA,NA,TRUE,1,1,NA,wind,q,1
2,59,4,4.947945205479452,FAM,NA,NA,2,pause bei letztem Trial,FAM,CoL,m,Isa,1,asp_first,tb_first,pilot1,no,NA,NA,NA,TRUE,1,0,NA,wind,ü,2
2,59,4,4.947945205479452,FAM,NA,NA,3,pause bei letztem Trial,FAM,CoL,m,Isa,1,asp_first,tb_first,pilot1,no,NA,NA,NA,TRUE,1,1,NA,self,ü,3
3,57,4,4.758904109589041,FAM,NA,NA,1,,FAM,CoL,w,Isa,1,asp_first,tb_first,pilot1,no,NA,NA,NA,TRUE,1,1,NA,wind,q,1
3,57,4,4.758904109589041,FAM,NA,NA,2,,FAM,CoL,w,Isa,1,asp_first,tb_first,pilot1,no,NA,NA,NA,TRUE,1,1,NA,self,ü,2
5,73,6,6.16120218579235,FAM,NA,NA,1,,FAM,CoL,w,Isa,17,asp_first,fb_first,pilot1,no,NA,NA,NA,TRUE,1,1,NA,wind,q,1
5,73,6,6.16120218579235,FAM,NA,NA,2,,FAM,CoL,w,Isa,17,asp_first,fb_first,pilot1,no,NA,NA,NA,TRUE,1,0,NA,wind,ü,2
5,73,6,6.16120218579235,FAM,NA,NA,3,,FAM,CoL,w,Isa,17,asp_first,fb_first,pilot1,no,NA,NA,NA,TRUE,1,1,NA,self,ü,3
6,86,7,7.23224043715847,FAM,NA,NA,1,,FAM,CoL,m,Isa,33,CoL_first,tb_first,pilot1,no,NA,NA,NA,TRUE,1,1,NA,wind,q,1
6,86,7,7.23224043715847,FAM,NA,NA,2,,FAM,CoL,m,Isa,33,CoL_first,tb_first,pilot1,no,NA,NA,NA,TRUE,1,0,NA,wind,ü,2
6,86,7,7.23224043715847,FAM,NA,NA,3,,FAM,CoL,m,Isa,33,CoL_first,tb_first,pilot1,no,NA,NA,NA,TRUE,1,1,NA,self,ü,3
7,49,4,4.1530054644808745,FAM,NA,NA,1,,FAM,CoL,w,Isa,33,CoL_first,tb_first,pilot1,no,NA,NA,NA,TRUE,1,1,NA,wind,q,1
7,49,4,4.1530054644808745,FAM,NA,NA,2,,FAM,CoL,w,Isa,33,CoL_first,tb_first,pilot1,no,NA,NA,NA,TRUE,1,0,NA,wind,ü,2
7,49,4,4.1530054644808745,FAM,NA,NA,3,,FAM,CoL,w,Isa,33,CoL_first,tb_first,pilot1,no,NA,NA,NA,TRUE,1,1,NA,self,ü,3
8,49,4,4.0956284153005464,FAM,NA,NA,1,NA,FAM,CoL,m,Isa,49,CoL_first,fb_first,dropout,yes,uncooperative behavior/study aborted,"Studie nach 3. testtrial abgebrochen, weil Kind keine Lust mehr hatte",NA,TRUE,1,1,NA,wind,q,1
8,49,4,4.0956284153005464,FAM,NA,NA,2,NA,FAM,CoL,m,Isa,49,CoL_first,fb_first,dropout,yes,uncooperative behavior/study aborted,"Studie nach 3. testtrial abgebrochen, weil Kind keine Lust mehr hatte",NA,FALSE,1,0,FALSE,wind,ü,2
8,49,4,4.0956284153005464,FAM,NA,NA,3,NA,FAM,CoL,m,Isa,49,CoL_first,fb_first,dropout,yes,uncooperative behavior/study aborted,"Studie nach 3. testtrial abgebrochen, weil Kind keine Lust mehr hatte",NA,TRUE,1,1,NA,self,ü,3
9,89,7,7.445355191256831,FAM,NA,NA,1,,FAM,CoL,w,Isa,49,CoL_first,fb_first,pilot2,no,NA,NA,NA,TRUE,1,1,NA,wind,q,1
9,89,7,7.445355191256831,FAM,NA,NA,2,,FAM,CoL,w,Isa,49,CoL_first,fb_first,pilot2,no,NA,NA,NA,TRUE,1,0,NA,wind,ü,2
9,89,7,7.445355191256831,FAM,NA,NA,3,,FAM,CoL,w,Isa,49,CoL_first,fb_first,pilot2,no,NA,NA,NA,TRUE,1,1,NA,self,ü,3
10,75,6,6.308743169398907,FAM,NA,NA,1,Objekte 2x erst falsch ,FAM,CoL,m,Isa,50,CoL_first,fb_first,pilot2,no,NA,NA,NA,TRUE,1,1,NA,wind,ü,1
10,75,6,6.308743169398907,FAM,NA,NA,2,Objekte 2x erst falsch ,FAM,CoL,m,Isa,50,CoL_first,fb_first,pilot2,no,NA,NA,NA,TRUE,1,0,NA,wind,ü,2
