id,consis.fam,outcome.fam,tb.fb,obj.pair,video.1,video.2,video.3,video.4,order,consis,outcome,video.5,video.6,video.7,video.8,video.9,video.10,video.11,video.12
1,IKKI,LRRL,tftfftft,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,acacacac,KIIKKIIK,RRLLLRRL,TB_ball_rattle_R,FB_bottle_R,TB_magnifier_tröte_L,FB_map_L,FB_pen_whistle_L,TB_necklace_R,FB_compass_bell_R,TB_sword_L
2,IKKI,RRLL,tftfftft,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,acacacac,KIIKKIIK,LLRRRLLR,TB_ball_rattle_L,FB_map_L,TB_magnifier_tröte_R,FB_necklace_R,FB_pen_whistle_R,TB_sword_L,FB_compass_bell_L,TB_bottle_R
3,IKKI,RLLR,tftfftft,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,acacacac,KIIKKIIK,LRRRLLRL,TB_ball_rattle_L,FB_necklace_R,TB_magnifier_tröte_R,FB_sword_R,FB_pen_whistle_L,TB_bottle_L,FB_compass_bell_R,TB_map_L
4,IKKI,LLRR,tftfftft,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,acacacac,KIIKKIIK,RLLLRRRL,TB_ball_rattle_R,FB_sword_L,TB_magnifier_tröte_L,FB_bottle_L,FB_pen_whistle_R,TB_map_R,FB_compass_bell_R,TB_necklace_L
5,KIIK,LRRL,tftfftft,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,acacacac,KIIKKIIK,RRLRRLRL,TB_compass_bell_R,FB_bottle_R,TB_pen_whistle_L,FB_map_R,FB_magnifier_tröte_R,TB_necklace_L,FB_ball_rattle_R,TB_sword_L
6,KIIK,RRLL,tftfftft,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,acacacac,KIIKKIIK,LLRLLRLR,TB_compass_bell_L,FB_map_L,TB_pen_whistle_R,FB_necklace_L,FB_magnifier_tröte_L,TB_sword_R,FB_ball_rattle_L,TB_bottle_R
7,KIIK,RLLR,tftfftft,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,acacacac,KIIKKIIK,LRRLRRLR,TB_compass_bell_L,FB_necklace_R,TB_pen_whistle_R,FB_sword_L,FB_magnifier_tröte_R,TB_bottle_R,FB_ball_rattle_L,TB_map_R
8,KIIK,LLRR,tftfftft,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,acacacac,KIIKKIIK,RLLRLLLR,TB_compass_bell_R,FB_sword_L,TB_pen_whistle_L,FB_bottle_R,FB_magnifier_tröte_L,TB_map_L,FB_ball_rattle_L,TB_necklace_R
9,IKKI,LRRL,tftfftft,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,acacacac,IKKIIKKI,RRLLLRRL,TB_pen_whistle_R,FB_bottle_R,TB_ball_rattle_L,FB_map_L,FB_compass_bell_L,TB_necklace_R,FB_magnifier_tröte_R,TB_sword_L
10,IKKI,RRLL,tftfftft,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,acacacac,IKKIIKKI,LLRRRLLR,TB_pen_whistle_L,FB_map_L,TB_ball_rattle_R,FB_necklace_R,FB_compass_bell_R,TB_sword_L,FB_magnifier_tröte_L,TB_bottle_R
