n;sim;p;comp.sign;red.null.p;IE.belief.age.p;IE.belief.age.sign;red.null.sign
108;1;2,43266066164010e-02;TRUE;4,61217554886986e-03;2,72478499342987e-02;TRUE;TRUE
108;2;4,33512541431392e-04;TRUE;2,46207210105303e-03;2,06384916426000e-04;TRUE;TRUE
108;3;2,72267195349416e-03;TRUE;2,03506885279782e-04;2,25601796984798e-03;TRUE;TRUE
108;4;2,46236784850080e-03;TRUE;2,97088622993220e-07;1,88250803245329e-03;TRUE;TRUE
108;5;2,12509896065654e-02;TRUE;3,84737620242721e-05;1,78051754756935e-02;TRUE;TRUE
108;6;1,29358775167817e-04;TRUE;1,56375264607182e-03;2,41387377972590e-04;TRUE;TRUE
108;7;8,62549936136178e-03;TRUE;5,50616191880290e-05;8,93293354431514e-03;TRUE;TRUE
108;8;2,96074356606098e-02;TRUE;4,03693962176915e-04;3,15919857004071e-02;TRUE;TRUE
108;9;2,08037458513987e-01;FALSE;1,40501132236728e-06;2,12214529497889e-01;FALSE;TRUE
108;10;1,90563706842261e-02;TRUE;2,05987040644314e-04;2,29642385876767e-02;TRUE;TRUE
108;11;1,90170306814809e-04;TRUE;3,38768673339992e-05;2,19654785100278e-04;TRUE;TRUE
108;12;3,88961971527098e-03;TRUE;4,76462389739467e-05;4,74624973890263e-03;TRUE;TRUE
108;13;2,05606523561568e-02;TRUE;3,02502050469299e-04;1,87329247351786e-02;TRUE;TRUE
108;14;3,08273558591828e-04;TRUE;4,25233822339163e-04;1,02832287530048e-04;TRUE;TRUE
108;15;5,41450143500227e-03;TRUE;4,05890589107598e-04;0,00000000000000e+00;TRUE;TRUE
108;16;3,42394044842601e-04;TRUE;1,27278744532249e-06;2,07291028374934e-04;TRUE;TRUE
108;17;3,84357318552754e-01;FALSE;5,80954823330350e-03;3,54267915896682e-01;FALSE;TRUE
108;18;3,11949780685320e-02;TRUE;9,04260247025245e-05;3,13431062137984e-02;TRUE;TRUE
108;19;2,84404393030503e-03;TRUE;1,40116432219069e-06;0,00000000000000e+00;TRUE;TRUE
108;20;6,04246147553859e-04;TRUE;1,35521984158788e-06;2,54634741968583e-04;TRUE;TRUE
108;21;2,02088356133506e-02;TRUE;3,26940585295326e-06;0,00000000000000e+00;TRUE;TRUE
108;22;4,04208585853029e-01;FALSE;4,73137168183965e-06;3,91426117109923e-01;FALSE;TRUE
108;23;7,26360012154631e-02;FALSE;2,11438568212427e-06;7,51851678157922e-02;FALSE;TRUE
108;24;1,23993470980574e-02;TRUE;1,06315275549250e-02;7,21401908032761e-03;TRUE;TRUE
108;25;1,69523787056897e-04;TRUE;2,37182018213361e-02;1,52008910928435e-04;TRUE;TRUE
108;26;3,66601067805897e-01;FALSE;2,14157304112409e-05;3,59130693439215e-01;FALSE;TRUE
108;27;9,49082903665902e-03;TRUE;1,57410911142079e-04;0,00000000000000e+00;TRUE;TRUE
108;28;6,78882978933152e-04;TRUE;8,82070853394189e-03;0,00000000000000e+00;TRUE;TRUE
108;29;3,76569207901865e-02;TRUE;2,25952782515717e-03;3,25466957510341e-02;TRUE;TRUE
108;30;3,94897758803243e-05;TRUE;1,92894204392930e-03;0,00000000000000e+00;TRUE;TRUE
108;31;3,14603882017893e-01;FALSE;3,89797243628263e-05;3,15360714565955e-01;FALSE;TRUE
108;32;4,02831748269361e-01;FALSE;3,74977663884279e-04;4,02347757998305e-01;FALSE;TRUE
108;33;1,57351025275724e-02;TRUE;2,15155154017860e-06;0,00000000000000e+00;TRUE;TRUE
108;34;5,42396779315210e-03;TRUE;5,03251160320826e-04;6,96909499349872e-03;TRUE;TRUE
108;35;1,25551396527619e-03;TRUE;8,42656352499957e-02;2,34436590067393e-03;TRUE;FALSE
108;36;3,46012491770852e-01;FALSE;1,43720170407412e-08;3,39792188293286e-01;FALSE;TRUE
108;37;4,51633342171379e-03;TRUE;1,35491253142122e-03;5,89100341914569e-03;TRUE;TRUE
108;38;4,71241377263092e-02;TRUE;1,18298319697428e-03;0,00000000000000e+00;TRUE;TRUE
108;39;2,06323313635077e-02;TRUE;1,93690216103494e-05;1,56148669057390e-02;TRUE;TRUE
108;40;1,05320673533419e-02;TRUE;3,72676786914462e-02;6,41063200478429e-03;TRUE;TRUE
108;41;8,06940374734999e-03;TRUE;2,98308271840464e-03;6,60440622776693e-03;TRUE;TRUE
108;42;1,56801696339782e-02;TRUE;9,96746683423399e-05;1,53841806994189e-02;TRUE;TRUE
108;43;4,73217374879465e-01;FALSE;1,64811393725321e-03;4,59871601263174e-01;FALSE;TRUE
108;44;9,91544688822478e-05;TRUE;2,95950711136134e-03;7,67206958199810e-05;TRUE;TRUE
108;45;3,38531375778547e-01;FALSE;2,45871261786555e-03;3,32114989739267e-01;FALSE;TRUE
108;46;1,12436109143195e-02;TRUE;8,19581791775798e-04;5,92190692856543e-03;TRUE;TRUE
108;47;1,16256039779169e-03;TRUE;1,02806469614579e-05;1,36093789971013e-03;TRUE;TRUE
108;48;5,08994936736689e-03;TRUE;3,61480865915609e-03;0,00000000000000e+00;TRUE;TRUE
108;49;2,04905110704925e-03;TRUE;1,15984781832118e-05;2,10408844302198e-03;TRUE;TRUE
108;50;1,91954164953656e-05;TRUE;9,89263782063408e-06;9,93055093461787e-06;TRUE;TRUE
108;51;9,99781839503824e-02;FALSE;2,49998327560084e-06;9,58243312879427e-02;FALSE;TRUE
108;52;2,51097278601350e-03;TRUE;1,05095960756816e-04;1,90009880749365e-03;TRUE;TRUE
108;53;2,45158482808118e-01;FALSE;1,02791713139839e-02;0,00000000000000e+00;TRUE;TRUE
108;54;1,38439914900266e-02;TRUE;1,43291614700424e-04;1,40363945381710e-02;TRUE;TRUE
